5, 3, 4, 1, 85, 54+31
8, 9, 1, 5, 14, 95-81
7, 9, 8, 9, 21, 99-78
6, 6, 0, 1, 121, 60+61
5, 8, 0, 2, 32, 82-50
1, 4, 2, 8, 36, 48-12
1, 8, 4, 4, 98, 14+84
3, 9, 0, 0, 120, 30+90
9, 2, 7, 5, 72, 97-25
3, 6, 6, 4, 28, 64-36
5, 1, 7, 2, 45, 57-12
9, 8, 8, 3, 15, 98-83
7, 1, 8, 4, 92, 78+14
4, 4, 6, 5, 91, 46+45
4, 5, 8, 9, 11, 59-48
4, 8, 7, 2, 129, 47+82
6, 1, 3, 1, 74, 63+11
2, 4, 4, 8, 72, 24+48
5, 8, 3, 7, 140, 53+87
4, 9, 9, 3, 142, 49+93
1, 6, 6, 2, 78, 16+62
7, 6, 8, 8, 10, 78-68
4, 4, 3, 0, 83, 43+40
4, 9, 9, 0, 41, 90-49
9, 3, 6, 2, 128, 96+32
5, 9, 6, 4, 38, 94-56
5, 8, 8, 4, 26, 84-58
2, 1, 5, 4, 39, 25+14
6, 7, 8, 9, 11, 79-68
1, 4, 4, 4, 58, 14+44
1, 3, 6, 8, 54, 16+38
6, 5, 6, 5, 121, 66+55
8, 8, 4, 8, 172, 84+88
1, 3, 2, 0, 18, 30-12
5, 6, 5, 3, 8, 63-55
5, 2, 3, 9, 82, 53+29
3, 1, 4, 8, 52, 34+18
1, 9, 7, 3, 110, 17+93
4, 8, 0, 6, 126, 40+86
3, 5, 4, 0, 84, 34+50
6, 1, 6, 0, 76, 66+10
7, 6, 4, 6, 8, 74-66
9, 9, 0, 5, 185, 90+95
1, 6, 2, 8, 56, 68-12
9, 3, 9, 3, 66, 99-33
6, 1, 9, 0, 79, 69+10
9, 1, 2, 7, 109, 92+17
4, 1, 8, 7, 65, 48+17
1, 8, 2, 7, 99, 12+87
5, 8, 1, 5, 34, 85-51
8, 2, 0, 8, 52, 80-28
1, 1, 8, 2, 6, 18-12
2, 5, 5, 1, 26, 51-25
5, 9, 3, 2, 145, 53+92
1, 3, 4, 4, 20, 34-14
6, 3, 8, 3, 101, 68+33
6, 4, 7, 6, 113, 67+46
9, 6, 3, 2, 155, 93+62
8, 9, 0, 2, 12, 92-80
1, 8, 9, 4, 103, 19+84
5, 1, 6, 9, 75, 56+19
2, 1, 1, 2, 33, 21+12
1, 4, 6, 5, 61, 16+45
6, 1, 4, 4, 50, 64-14
5, 4, 0, 7, 97, 50+47
8, 1, 2, 4, 68, 82-14
4, 7, 7, 3, 26, 73-47
9, 6, 0, 7, 157, 90+67
8, 3, 8, 8, 126, 88+38
3, 1, 7, 7, 20, 37-17
2, 7, 4, 7, 53, 77-24
2, 1, 3, 0, 13, 23-10
9, 7, 6, 2, 24, 96-72
4, 8, 8, 4, 132, 48+84
1, 8, 9, 0, 99, 19+80
6, 5, 8, 9, 9, 68-59
8, 3, 0, 0, 110, 80+30
7, 8, 1, 0, 9, 80-71
4, 5, 2, 0, 92, 42+50
1, 8, 4, 0, 94, 14+80
4, 2, 8, 5, 23, 48-25
2, 4, 8, 9, 77, 28+49
8, 5, 7, 4, 141, 87+54
1, 5, 4, 4, 68, 14+54
6, 9, 7, 1, 24, 91-67
3, 2, 9, 5, 14, 39-25
3, 2, 8, 3, 61, 38+23
7, 9, 7, 2, 15, 92-77
7, 5, 4, 5, 129, 74+55
1, 3, 4, 5, 21, 35-14
8, 4, 8, 6, 134, 88+46
5, 4, 1, 4, 95, 51+44
3, 7, 0, 6, 106, 30+76
9, 9, 3, 3, 186, 93+93
2, 1, 2, 5, 37, 22+15
9, 3, 2, 0, 62, 92-30
6, 8, 8, 4, 16, 84-68
3, 7, 2, 3, 41, 73-32
8, 2, 9, 7, 116, 89+27
3, 6, 0, 4, 34, 64-30
5, 4, 5, 4, 11, 55-44
4, 6, 1, 9, 110, 41+69
2, 2, 7, 2, 49, 27+22
8, 7, 7, 7, 10, 87-77
3, 5, 3, 6, 89, 33+56
4, 6, 5, 6, 111, 45+66
4, 4, 9, 9, 98, 49+49
3, 9, 1, 5, 126, 31+95
3, 4, 6, 4, 8, 44-36
9, 5, 3, 0, 143, 93+50
3, 2, 3, 7, 6, 33-27
7, 5, 5, 9, 16, 75-59
5, 9, 2, 3, 41, 93-52
9, 5, 3, 9, 152, 93+59
2, 5, 0, 4, 34, 54-20
8, 9, 2, 0, 172, 82+90
9, 9, 2, 7, 189, 92+97
1, 8, 2, 0, 68, 80-12
4, 7, 8, 1, 119, 48+71
3, 1, 3, 0, 23, 33-10
6, 8, 7, 9, 22, 89-67
4, 7, 1, 3, 32, 73-41
6, 9, 1, 7, 158, 61+97
8, 2, 0, 9, 109, 80+29
6, 7, 8, 1, 139, 68+71
2, 6, 9, 6, 37, 66-29
1, 9, 5, 0, 75, 90-15
8, 2, 2, 0, 62, 82-20
2, 1, 5, 6, 9, 25-16
2, 9, 2, 3, 115, 22+93
5, 4, 3, 4, 97, 53+44
7, 2, 9, 5, 104, 79+25
